ea_id,latitude,longitude,round,prop_imp,SPEI,prop_female_head,mean_age_head,prop_salaried_head,prop_head_edu_1,prop_head_edu_2,prop_head_edu_3,prop_head_edu_4,prop_head_edu_5,prop_head_edu_6,prop_head_edu_7,total_plot_size,prop_coupon,prop_credit,prop_left_seeds,prop_advice,members_agri_coop,agri_coop,maize_hybrid_sellers,assistant_ag_officer,grid_id
20610050,-14.10449981689453,34.00180053710938,2,.22968207,.4083701372146606,.18181819,44.727272,0,.63636363,.090909094,0,.090909094,0,0,0,17.799999,0,.068965517,.34482759,.63636363,0,0,1,0,9
20610050,-14.10449981689453,34.00180053710938,3,.084957369,-.2562609612941742,.27272728,42.545456,.090909094,.54545456,0,.090909094,0,0,0,0,15.28,0,0,.40000001,.54545456,0,0,2,0,9
20610050,-14.10449981689453,34.00180053710938,4,.36257905,-.5388262271881104,.18181819,46.363636,.18181819,.63636363,.090909094,0,0,0,0,0,12.78,.054054055,.054054055,.48648649,.36363637,0,0,0,1,9
20614477,-14.03299999237061,33.51589965820313,1,.71002144,-1.600252509117126,0,40.777779,0,.8888889,0,0,0,0,0,0,19.58,.18181819,.045454547,.77272725,0,0,0,3,0,14
20614477,-14.03299999237061,33.51589965820313,2,.21932185,.6878406405448914,.11111111,43,0,.77777779,0,0,0,0,0,0,16.710001,.064516127,.16129032,.54838711,.66666669,0,0,2,0,14
20614477,-14.03299999237061,33.51589965820313,3,.39509341,-.5768709778785706,.22222222,46.111111,.11111111,.44444445,.22222222,0,0,0,0,0,15.37,0,.13636364,.5,.44444445,0,0,0,0,14
20614477,-14.03299999237061,33.51589965820313,4,.28798515,-.5086838603019714,.11111111,44.444443,.11111111,.44444445,.11111111,0,0,0,0,0,15.71,0,.088235296,.52941179,.11111111,0,0,0,0,14
20615064,-13.81219959259033,33.5004997253418,1,.46940824,-1.633428931236267,.16666667,46.25,.083333336,.75,.083333336,0,0,0,0,0,25.75,.10714286,0,.39285713,.083333336,0,0,0,1,11
20615064,-13.81219959259033,33.5004997253418,2,.50912935,.7990362644195557,.16666667,45.083332,.16666667,.66666669,.083333336,0,0,0,0,0,26.959999,.045454547,.11363637,.54545456,.33333334,0,0,1,1,11
20615064,-13.81219959259033,33.5004997253418,3,.43694708,-.7880294919013977,.33333334,41.5,.16666667,.83333331,0,0,0,0,0,0,18.4,.052631579,.13157895,.5,.30000001,0,0,3,1,11
20615064,-13.81219959259033,33.5004997253418,4,.34316218,-.5603160858154297,.41666666,44,0,.75,0,0,.083333336,0,0,0,31.35,.020833334,.083333336,.35416666,.083333336,0,0,10,0,11
20615735,-13.93470001220703,33.49399948120117,1,.5836854,-1.626283288002014,.2857143,37.92857,.071428575,.78571427,0,.071428575,0,0,0,0,37.82,0,.12820514,.48717949,0,0,0,4,1,12
20615735,-13.93470001220703,33.49399948120117,2,.81438553,.810706615447998,.30769232,39.615383,0,.61538464,.07692308,.23076923,0,0,0,0,26.969999,0,.24390244,.24390244,.5714286,0,0,0,1,12
20615735,-13.93470001220703,33.49399948120117,3,.5023765,-.6594513654708862,.2857143,42,0,.71428573,.14285715,.071428575,0,0,0,0,23.110001,.032258064,.29032257,.3548387,.21428572,0,0,4,1,12
20615735,-13.93470001220703,33.49399948120117,4,.60720938,-.5350564122200012,.21428572,43.42857,.14285715,.5714286,.14285715,.071428575,.14285715,0,0,0,35.07,0,.14285715,.51020408,.14285715,0,0,0,0,12
20705372,-13.50269985198975,32.98630142211914,1,.26587456,-1.212054252624512,0,36.545456,.090909094,.45454547,.18181819,0,.090909094,0,0,0,30.799999,0,0,.45833334,.63636363,0,0,0,0,41
20705372,-13.50269985198975,32.98630142211914,2,.26269859,.7040596604347229,0,39.545456,.090909094,.45454547,.18181819,0,0,.090909094,0,0,25.960001,.10714286,.035714287,.32142857,.54545456,0,0,0,1,41
20705372,-13.50269985198975,32.98630142211914,3,.10542084,-.9744181036949158,.090909094,45.545456,.090909094,.54545456,.18181819,.090909094,0,0,0,0,37.5,.043478262,.086956523,.73913044,.36363637,0,0,0,1,41
20705372,-13.50269985198975,32.98630142211914,4,.39937228,.0541670396924019,0,44.272728,0,.45454547,.27272728,0,0,0,0,0,37.599998,.051282052,.1025641,.66666669,.090909094,0,0,0,0,41
20801046,-14.37629985809326,34.03939819335938,1,.15784028,-1.539516568183899,.23076923,48.46154,.07692308,.53846157,0,.07692308,.07692308,0,0,0,25.76,.050000001,.1,.34999999,.14285715,0,0,0,0,20
20801046,-14.37629985809326,34.03939819335938,2,.21662921,-.1126787588000298,.2857143,48.642857,.14285715,.71428573,0,.071428575,.071428575,0,0,0,18.959999,.055555556,.14814815,.66666669,.78571427,0,0,4,0,20
20801046,-14.37629985809326,34.03939819335938,3,.1894979,-.036039687693119,.21428572,48.92857,.071428575,.78571427,.071428575,.071428575,.071428575,0,0,0,15.77,0,.21621622,.4054054,.66666669,150,1,0,1,20
20801046,-14.37629985809326,34.03939819335938,4,.21321256,-.8979654312133789,.35714287,45.07143,.071428575,.64285713,.071428575,.071428575,.071428575,0,0,0,23.879999,.016949153,.13559322,.66101694,.2857143,0,0,0,0,20
20803156,-14.2992000579834,34.11259841918945,1,.10128684,-1.623748898506165,.33333334,47.666668,0,.40000001,.06666667,0,0,0,0,0,25.16,.057142857,.14285715,.51428574,0,0,0,0,0,13
20803156,-14.2992000579834,34.11259841918945,2,.13436872,.0753064230084419,.33333334,49.266666,.13333334,.46666667,.13333334,0,0,0,0,0,22.870001,.06666667,.1,.36666667,.60000002,0,0,9,0,13
20803156,-14.2992000579834,34.11259841918945,3,.081339709,-.1475737392902374,.26666668,48.666668,0,.66666669,0,0,0,0,0,0,24.4,0,.09375,.40625,.53333336,13,1,0,1,13
